"","Final_Pc","Final_Gc","Final_Pk","Final_Gk","Final_St","Gold","Final_Ex","Final_Tot"
"X26",0,0,0,0,0,0,0,0
"X27",0,0,0,0,0,0,0,0
"X28",0,0,0,0,0,0,0,0
"X29",0,0,0,0,0,0,0,0
"X99",0,0,0,0,0,0,0,0
"X100",214.528973573715,0,0,0,0,0,0,214.528973573715
"X101",0,0,0,0,0,0,0,0
"X102",5467.53560290568,0,0,0,0,0,0,5467.53560290568
"X103",0,0,0,0,0,0,0,0
"X104",1287.15835624663,0,0,0,0,0,0,1287.15835624663
"X105",1725.46078766467,0,0,0,0,0,0,1725.46078766467
"X106",2.47954120360623,0,0,0,0,0,0,2.47954120360623
"X107",1563.87864572419,0,0,0,0,0,0,1563.87864572419
"X108",0,0,0,0,0,0,0,0
"X109",0.929048980421145,0,0,0,0,0,0,0.929048980421145
"X110",1.32376454365443,0,0,0,0,0,0,1.32376454365443
"X274",130.156665839861,0,0,0,0,0,0,130.156665839861
"X275",5151.74585133136,0,0,0,0,0,0,5151.74585133136
"X276",2377.02347357751,0,0,0,0,0,0,2377.02347357751
"X277",0,0,0,0,0,0,0,0
"X278",103.575835422255,0,0,0,0,0,0,103.575835422255
"X279",7310.52475822789,0,0,0,0,0,0,7310.52475822789
"X280",1906.10382948625,0,0,0,0,0,0,1906.10382948625
